skill,n_jobs,pct_of_data_jobs
SQL,1040,51.9
Python,860,42.91
Statistics / Experimentation,561,27.99
Machine Learning,554,27.64
Excel,416,20.76
AWS,385,19.21
Spark / Databricks,357,17.81
R,328,16.37
Azure,313,15.62
Power BI,312,15.57
Tableau,297,14.82
GCP,190,9.48
Git,123,6.14
Docker / Kubernetes,100,4.99
Airflow,82,4.09
